,Acc,Depth,MAE,Rate,Stops
1054,0.9809203142536476,27,0.019079685746352413,0.02,200
1055,0.9887766554433222,27,0.01122334455667789,0.03,200
1056,0.9910213243546577,27,0.008978675645342313,0.04,200
1057,0.9921436588103255,27,0.007856341189674524,0.05,200
1058,0.9921436588103255,27,0.007856341189674524,0.060000000000000005,200
1059,0.9932659932659933,27,0.006734006734006734,0.06999999999999999,200
1060,0.9932659932659933,27,0.006734006734006734,0.08,200
1061,0.9932659932659933,27,0.006734006734006734,0.09,200
1062,0.9461279461279462,28,0.05387205387205387,0.01,200
1063,0.9809203142536476,28,0.019079685746352413,0.02,200
1064,0.9887766554433222,28,0.01122334455667789,0.03,200
1065,0.9910213243546577,28,0.008978675645342313,0.04,200
1066,0.9921436588103255,28,0.007856341189674524,0.05,200
1067,0.9921436588103255,28,0.007856341189674524,0.060000000000000005,200
1068,0.9932659932659933,28,0.006734006734006734,0.06999999999999999,200
1069,0.9932659932659933,28,0.006734006734006734,0.08,200
1070,0.9932659932659933,28,0.006734006734006734,0.09,200
1071,0.9461279461279462,29,0.05387205387205387,0.01,200
1072,0.9809203142536476,29,0.019079685746352413,0.02,200
1073,0.9887766554433222,29,0.01122334455667789,0.03,200
1074,0.9910213243546577,29,0.008978675645342313,0.04,200
1075,0.9921436588103255,29,0.007856341189674524,0.05,200
1076,0.9921436588103255,29,0.007856341189674524,0.060000000000000005,200
1077,0.9932659932659933,29,0.006734006734006734,0.06999999999999999,200
1078,0.9921436588103255,29,0.007856341189674524,0.08,200
1079,0.9932659932659933,29,0.006734006734006734,0.09,200
1080,0.9461279461279462,30,0.05387205387205387,0.01,200
1081,0.9809203142536476,30,0.019079685746352413,0.02,200
1082,0.9887766554433222,30,0.01122334455667789,0.03,200
1083,0.9910213243546577,30,0.008978675645342313,0.04,200
1084,0.9921436588103255,30,0.007856341189674524,0.05,200
1085,0.9921436588103255,30,0.007856341189674524,0.060000000000000005,200
1086,0.9932659932659933,30,0.006734006734006734,0.06999999999999999,200
1087,0.9921436588103255,30,0.007856341189674524,0.08,200
1088,0.9932659932659933,30,0.006734006734006734,0.09,200
1089,0.9450056116722784,20,0.05499438832772166,0.01,210
1090,0.9775533108866442,20,0.02244668911335578,0.02,210
1091,0.9876543209876543,20,0.012345679012345678,0.03,210
1092,0.9910213243546577,20,0.008978675645342313,0.04,210
1093,0.9910213243546577,20,0.008978675645342313,0.05,210
1094,0.9921436588103255,20,0.007856341189674524,0.060000000000000005,210
1095,0.9921436588103255,20,0.007856341189674524,0.06999999999999999,210
1096,0.9932659932659933,20,0.006734006734006734,0.08,210
1097,0.9932659932659933,20,0.006734006734006734,0.09,210
1098,0.9461279461279462,21,0.05387205387205387,0.01,210
1099,0.9809203142536476,21,0.019079685746352413,0.02,210
1100,0.9887766554433222,21,0.01122334455667789,0.03,210
1101,0.9910213243546577,21,0.008978675645342313,0.04,210
1102,0.9921436588103255,21,0.007856341189674524,0.05,210
1103,0.9921436588103255,21,0.007856341189674524,0.060000000000000005,210
1104,0.9921436588103255,21,0.007856341189674524,0.06999999999999999,210
1105,0.9932659932659933,21,0.006734006734006734,0.08,210
1106,0.9932659932659933,21,0.006734006734006734,0.09,210
1107,0.9461279461279462,22,0.05387205387205387,0.01,210
1108,0.9809203142536476,22,0.019079685746352413,0.02,210
1109,0.98989898989899,22,0.010101010101010102,0.03,210
1110,0.9910213243546577,22,0.008978675645342313,0.04,210
1111,0.9921436588103255,22,0.007856341189674524,0.05,210
1112,0.9921436588103255,22,0.007856341189674524,0.060000000000000005,210
1113,0.9932659932659933,22,0.006734006734006734,0.06999999999999999,210
1114,0.9932659932659933,22,0.006734006734006734,0.08,210
1115,0.9932659932659933,22,0.006734006734006734,0.09,210
1116,0.9461279461279462,23,0.05387205387205387,0.01,210
1117,0.9809203142536476,23,0.019079685746352413,0.02,210
1118,0.98989898989899,23,0.010101010101010102,0.03,210
1119,0.9910213243546577,23,0.008978675645342313,0.04,210
1120,0.9921436588103255,23,0.007856341189674524,0.05,210
1121,0.9921436588103255,23,0.007856341189674524,0.060000000000000005,210
1122,0.9932659932659933,23,0.006734006734006734,0.06999999999999999,210
